               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.040689,            0.021642,                   0,             0.75901,                0.65,             0.73351,             0.31899,            0.018007,           0.0087535,                   0,            0.065085,           0.0030852,           0.0030852
                  39,            0.037745,            0.022925,                   0,             0.69386,                 0.8,             0.77306,              0.3747,            0.016259,           0.0087619,                   0,            0.064147,           0.0031471,           0.0031471
                  40,            0.032795,            0.020948,                   0,             0.79331,                 0.5,             0.60461,             0.30696,            0.017942,           0.0084245,                   0,            0.063208,            0.003208,            0.003208
                  41,             0.04004,            0.017137,                   0,             0.92797,             0.64456,             0.77243,             0.43665,             0.01651,           0.0080352,                   0,            0.062268,           0.0032679,           0.0032679
                  42,            0.032454,            0.019476,                   0,             0.68858,                 0.6,             0.72842,             0.37245,            0.017826,           0.0076535,                   0,            0.061327,           0.0033268,           0.0033268
                  43,            0.082586,            0.019348,                   0,             0.74133,                0.65,             0.73751,             0.39427,            0.016063,           0.0076654,                   0,            0.060385,           0.0033847,           0.0033847
                  44,            0.036309,            0.016794,                   0,             0.94462,                0.55,             0.76697,             0.41854,             0.01506,           0.0075366,                   0,            0.059442,           0.0034417,           0.0034417
                  45,            0.037704,            0.020947,                   0,             0.59555,                 0.7,             0.69565,              0.3009,            0.018044,           0.0075569,                   0,            0.058498,           0.0034976,           0.0034976
                  46,            0.033114,            0.018613,                   0,             0.84493,                0.75,              0.8363,              0.3808,            0.017516,           0.0071566,                   0,            0.057553,           0.0035526,           0.0035526
                  47,            0.039238,            0.018067,                   0,             0.39919,                0.55,               0.435,             0.28235,            0.015886,           0.0081606,                   0,            0.056607,           0.0036065,           0.0036065
                  48,            0.033366,            0.019507,                   0,              0.4518,                0.55,             0.48512,             0.19487,            0.017509,           0.0080962,                   0,             0.05566,           0.0036595,           0.0036595
                  49,            0.035923,            0.019484,                   0,             0.56594,                 0.9,             0.76106,             0.47299,            0.016329,            0.006422,                   0,            0.054712,           0.0037115,           0.0037115
                  50,            0.035682,             0.01784,                   0,             0.94517,             0.86244,             0.90593,             0.40554,            0.017079,           0.0061852,                   0,            0.053763,           0.0037625,           0.0037625
                  51,            0.037317,            0.018724,                   0,             0.66198,             0.78383,             0.77782,             0.45682,            0.013519,           0.0062363,                   0,            0.052813,           0.0038125,           0.0038125
                  52,            0.083569,            0.018437,                   0,             0.64992,                0.75,             0.76752,             0.36912,            0.015046,            0.006029,                   0,            0.051862,           0.0038615,           0.0038615
                  53,            0.029311,            0.017604,                   0,             0.65678,                 0.8,             0.76711,             0.40404,            0.013286,           0.0060698,                   0,             0.05091,           0.0039095,           0.0039095
                  54,             0.03111,            0.017529,                   0,             0.65836,                0.75,             0.77041,             0.45514,            0.013322,           0.0062356,                   0,            0.049957,           0.0039566,           0.0039566
                  55,            0.027999,            0.021019,                   0,             0.59656,                0.85,             0.70808,             0.39127,            0.013396,           0.0063218,                   0,            0.049003,           0.0040026,           0.0040026
                  56,            0.027994,            0.016813,                   0,             0.81308,             0.65264,             0.76152,             0.34634,            0.018178,           0.0060256,                   0,            0.048048,           0.0040477,           0.0040477
                  57,            0.038826,            0.015795,                   0,             0.72617,             0.79576,             0.78973,             0.44455,            0.011743,            0.006582,                   0,            0.047092,           0.0040917,           0.0040917
                  58,            0.032738,            0.015181,                   0,             0.67424,                 0.6,             0.63604,             0.26204,            0.022436,           0.0058627,                   0,            0.046135,           0.0041348,           0.0041348
                  59,            0.033982,            0.016476,                   0,             0.61025,                0.65,             0.72042,               0.363,            0.015144,           0.0061551,                   0,            0.045177,           0.0041769,           0.0041769
                  60,            0.032492,            0.015521,                   0,             0.75073,                 0.6,             0.73026,             0.39553,            0.015545,           0.0060858,                   0,            0.044218,            0.004218,            0.004218
                  61,            0.031143,            0.017622,                   0,             0.60496,             0.84251,             0.83118,             0.43479,            0.015881,           0.0058774,                   0,            0.043258,           0.0042581,           0.0042581
                  62,            0.078355,            0.018904,                   0,             0.97059,                 0.6,             0.82638,             0.42419,            0.012949,           0.0060689,                   0,            0.042297,           0.0042972,           0.0042972
                  63,            0.032589,            0.014124,                   0,             0.77091,                0.75,             0.77856,             0.34479,            0.018004,           0.0058395,                   0,            0.041335,           0.0043353,           0.0043353
                  64,            0.062603,            0.016478,                   0,             0.83527,                 0.7,             0.79997,             0.44128,            0.012409,           0.0061256,                   0,            0.040372,           0.0043725,           0.0043725
                  65,            0.031745,            0.014778,                   0,             0.67837,             0.63334,              0.7559,             0.27875,              0.0209,           0.0056841,                   0,            0.039409,           0.0044086,           0.0044086
                  66,            0.031724,            0.020416,                   0,              0.8081,                0.65,             0.77387,             0.33259,            0.015388,           0.0059963,                   0,            0.038444,           0.0044438,           0.0044438
                  67,            0.027613,            0.016961,                   0,              0.6233,                0.85,              0.7842,             0.29798,            0.017903,           0.0057437,                   0,            0.037478,           0.0044779,           0.0044779
                  68,            0.025295,            0.017477,                   0,             0.57493,                0.85,             0.79947,             0.42738,            0.014827,           0.0057724,                   0,            0.036511,           0.0045111,           0.0045111
                  69,            0.042246,            0.015958,                   0,              0.8255,                0.85,             0.84803,             0.37154,            0.013672,           0.0059131,                   0,            0.035543,           0.0045433,           0.0045433
                  70,            0.022744,            0.015615,                   0,             0.65673,                0.85,             0.82639,             0.38736,            0.014266,           0.0058045,                   0,            0.034574,           0.0045745,           0.0045745
                  71,            0.025317,            0.013373,                   0,             0.82856,                 0.8,             0.89368,             0.34636,            0.015153,           0.0061119,                   0,            0.033605,           0.0046047,           0.0046047
                  72,            0.027862,            0.016835,                   0,             0.85595,                 0.9,             0.90341,             0.47233,            0.013369,           0.0060048,                   0,            0.032634,           0.0046339,           0.0046339
                  73,             0.06168,             0.01779,                   0,             0.84167,                 0.9,             0.92554,             0.50954,            0.012449,           0.0058212,                   0,            0.031662,           0.0046621,           0.0046621
